source_id,apa7_reference,source_type,url,access_date,primary_or_secondary,peer_reviewed,jurisdiction,verification_status,conflict_flag,notes
SRC-UD-2026-ERCOT,"Utility Dive. (2026, June 22). Texas, facing 438-GW queue, approves initial large load interconnection process.",trade_press,https://www.utilitydive.com/news/texas-facing-438-gw-queue-approves-initial-large-load-interconnection-pro/823367/,2026-07-16,secondary,no,US-TX,single_extraction,none,
SRC-NRF-2025-TMO4,"Norton Rose Fulbright. (2025). First ready, first connected: Reform to GB electricity grid connections [Briefing].",law_firm_alert,https://www.nortonrosefulbright.com/en/knowledge/publications/5567f27c/first-ready-first-connected-reform-to-gb-electricity-grid-connections,2026-07-16,secondary,no,GB,single_extraction,none,"Partially pre-dates Ofgem approval"
SRC-CRU-2025-236,"Commission for Regulation of Utilities. (2025, December 12). Large Energy Users Connection Policy (CRU/2025/236) [Decision].",regulator_decision,https://www.cru.ie/about-us/news/the-cru-publishes-its-decision-on-new-electricity-connection-policy-for-data-centres/,2026-07-16,primary,no,IE,single_extraction,none,
SRC-NBER-2023-31946,"Johnston, S., Liu, Y., & Yang, C. (2023). An empirical analysis of the interconnection queue (NBER Working Paper 31946).",working_paper,https://www.nber.org/papers/w31946,2026-07-16,primary,working_paper,US,single_extraction,none,"Closest paper 1"
SRC-DUKE-2025-RLG,"Norris, T. H., Profeta, T., Patino-Echeverri, D., & Cowie-Haskell, A. (2025, February 13). Rethinking load growth. Duke University Nicholas Institute.",report,https://nicholasinstitute.duke.edu/news/issue/16509,2026-07-16,primary,no,US,single_extraction,none,"Closest paper 2"
SRC-MIT-2025-FDC,"Knittel, C. R., Senga, J. R. L., & Wang, S. (2025). Flexible data centers and the grid: Lower costs, higher emissions? (MIT CEEPR WP 2025-14; NBER w34065; iScience 2026).",working_paper,https://ceepr.mit.edu/workingpaper/flexible-data-centers-and-the-grid-lower-costs-higher-emissions/,2026-07-16,primary,journal_2026,US,single_extraction,none,"Closest paper 3"
SRC-FED-2026-2606,"Kay, O., Reaser, R., & Taylor, R. (2026, March). Processing power: The effect of data centers on wholesale electricity markets (Dallas Fed WP 2606).",working_paper,https://www.dallasfed.org/research/papers/2026/wp2606,2026-07-16,primary,working_paper,US,single_extraction,none,"Closest paper 4; corrects v1.0 attribution"
SRC-RZB-2025-STLS,"Riepin, I., Zavala, V. M., & Brown, T. (2025). Spatio-temporal load shifting for truly clean computing. Advances in Applied Energy, 17, 100202.",journal_article,https://arxiv.org/abs/2405.00036,2026-07-16,primary,yes,EU,single_extraction,none,"Closest paper 5; open-source code Zenodo 10869650"
SRC-AEMO-2026-ISP,"Australian Energy Market Operator. (2026). 2026 Integrated System Plan.",planning_document,TO_BE_CONFIRMED,2026-07-16,primary,no,AU,to_be_confirmed,none,"Fetch failed; confirm publication status"
SRC-ENTSOE-2026-DC,"ENTSO-E. (2026). Data centres and the power system.",report,TO_BE_CONFIRMED,2026-07-16,primary,no,EU,to_be_confirmed,none,"Not located; verify or drop"
